ResponseId,Group,Correct,Regret,Female,Age,Educ,Income,Ideology,PID,PID0,PID1,PID2,PID3,Knowledge,Voted,VotedAnaya,VotedObrador,NewVote,ExtEffi,IntEffi,Trust_Media,Satisficer,M1,M2,M3,M,W
R_CgFasVg3RJDCWl3,Treat2,4,0,1,43,3,3,6,PAN-PRD-MC,0,1,0,0,0,1,0,1,0,4,4,4,0,0,1,0,1,4.95065380116959
R_1DTQsJwJMLJuB41,Treat2,3,0,1,29,5,9,9,Etc,1,0,0,0,3,1,0,0,0,3,4,3,0,0,0,0,0,6.530403045685278
R_1ojzesbpcNiG9wa,Control,4,0,0,30,5,10,8,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,4,4,1,0,0,0,1,1,4.16821308411215
R_2uKyecu2HeivHHq,Treat1,4,0,1,20,7,17,8,PAN-PRD-MC,0,1,0,0,1,1,0,1,0,2,4,3,0,1,0,0,1,6.530403045685278
R_tVEg2Wzv23VYCel,Treat1,4,0,1,22,5,6,5,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,3,3,3,0,0,0,0,0,6.530403045685278
R_3gYlNXOaLdbQM30,Treat1,4,0,0,30,6,12,5,Etc,1,0,0,0,2,1,0,0,0,4,4,2,0,0,0,0,0,4.16821308411215
R_3nTWe4KbpMVYYnj,Control,5,1,1,34,5,20,3,MORENA-PT-PES,0,0,0,1,1,1,0,1,2,4,5,5,0,0,0,1,1,4.367588288288288
R_1nW8nSCM0fzIWnv,Control,4,0,0,22,5,3,6,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,4,5,3,0,0,0,1,1,6.549394949494949
R_9mlRqmDjGu65QcN,Treat1,5,1,1,35,5,19,10,MORENA-PT-PES,0,0,0,1,3,1,0,1,1,5,5,5,0,1,0,0,1,4.367588288288288
R_2VHG9PF34OE8onf,Treat1,3,1,1,42,5,10,5,Etc,1,0,0,0,1,0,0,0,3,4,4,3,0,0,0,0,0,4.95065380116959
R_2wiOhtCpHxa75Os,Treat2,5,0,0,38,5,15,5,Etc,1,0,0,0,1,1,0,1,0,4,4,4,0,0,0,0,0,4.16821308411215
R_1juHXvWtMhmvoZM,Treat2,4,1,0,34,6,16,0,MORENA-PT-PES,0,0,0,1,2,1,0,1,2,5,5,4,0,0,1,0,1,4.16821308411215
R_2yabN5jvlxMtVi5,Treat2,5,0,0,52,2,7,0,MORENA-PT-PES,0,0,0,1,3,1,0,1,0,5,5,4,0,0,0,0,0,4.510031297709924
R_1M4rYCbbqQhq921,Control,5,0,0,38,4,2,5,MORENA-PT-PES,0,0,0,1,3,1,0,1,0,5,5,4,0,0,0,1,1,4.16821308411215
R_1EYGuAmx5yzVXmv,Treat1,5,1,0,29,4,3,10,Etc,1,0,0,0,2,1,0,0,4,5,4,4,0,0,0,0,0,6.549394949494949
R_2SjoREfrEYkErdN,Treat1,5,0,1,31,5,19,5,PRI-PVEM-PNA,0,0,1,0,2,1,0,0,0,3,2,2,0,0,0,0,0,4.367588288288288
R_1E55dlIZjlcRLuI,Treat2,3,0,0,37,6,20,5,Etc,1,0,0,0,2,0,0,0,0,3,4,2,0,0,1,0,1,4.16821308411215
R_2RUm4NnBiZh69YO,Control,5,0,1,41,5,5,5,Etc,1,0,0,0,1,1,0,0,0,4,2,1,0,0,0,1,1,4.95065380116959
R_30jHbZGUjw1i1Ih,Control,5,0,1,20,6,4,10,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,4,5,4,0,0,0,1,1,6.530403045685278
R_6x7xVOVbMIsa1ZD,Control,5,0,0,34,5,6,4,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,5,5,5,0,0,0,1,1,4.16821308411215
R_2TGysY9coZnYOje,Treat2,5,0,1,37,5,5,9,PRI-PVEM-PNA,0,0,1,0,2,1,0,1,0,4,5,1,0,0,0,0,0,4.367588288288288
R_3qaIy3OqdD6V7Ao,Control,5,0,0,26,5,8,5,Etc,1,0,0,0,1,1,0,1,0,5,4,1,0,0,0,1,1,6.549394949494949
R_30deuBuJsFKPLzv,Treat2,4,0,1,33,5,18,2,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,4,5,3,0,0,1,0,1,4.367588288288288
R_1rwabNNgyyGxfwg,Control,4,0,0,65,2,1,8,PAN-PRD-MC,0,1,0,0,0,1,0,1,0,4,4,5,0,0,0,1,1,4.742160256410257
R_1pVSIOiawbOyjCw,Treat1,5,0,0,30,5,7,8,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,4,4,1,0,0,0,0,0,4.16821308411215
R_3Offexpiu9nkFgf,Control,5,0,0,24,3,4,7,Etc,1,0,0,0,0,1,0,1,0,4,5,2,0,0,0,1,1,6.549394949494949
R_3PgykayufFXCxmu,Treat2,5,0,1,34,5,8,9,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,5,5,5,0,0,1,0,1,4.367588288288288
R_RDBIAt8QZgYp6p3,Treat1,4,0,0,38,3,8,5,Etc,1,0,0,0,2,1,0,1,0,4,4,3,0,0,0,0,0,4.16821308411215
R_byMhGpJF49kDy5X,Treat2,5,0,0,48,3,6,6,Etc,1,0,0,0,2,1,0,1,0,3,5,3,0,0,0,0,0,4.225684916201117
R_1K8frpoo4uRvjr3,Treat1,5,0,0,22,5,4,7,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,5,5,1,0,0,0,0,0,6.549394949494949
R_1Q9fP2RHaiPB9io,Treat1,5,0,0,33,5,15,9,PRI-PVEM-PNA,0,0,1,0,2,1,0,0,0,4,4,5,0,1,0,0,1,4.16821308411215
R_2uJnMoafNCr1tfK,Treat2,5,0,1,40,5,10,5,Etc,1,0,0,0,0,1,0,0,0,3,3,3,0,0,1,0,1,4.95065380116959
R_1IXZJWwUZaNR0iN,Control,4,0,1,20,3,9,6,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,4,5,3,0,0,0,1,1,6.530403045685278
R_33EkW7WBvQoyoP2,Treat2,5,0,1,21,3,3,5,Etc,1,0,0,0,0,1,0,1,0,4,4,3,0,0,1,0,1,6.530403045685278
R_3kAiUvAJwQkaJxW,Control,4,0,0,46,6,14,0,PAN-PRD-MC,0,1,0,0,0,1,0,1,0,4,4,3,0,0,0,1,1,4.225684916201117
R_0qz4DZYHnUIJEtz,Control,3,0,1,32,5,6,7,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,4,4,4,0,0,0,1,1,4.367588288288288
R_3hEhyM1xyTA5iMD,Control,4,1,1,22,5,13,5,MORENA-PT-PES,0,0,0,1,3,1,0,1,4,4,5,4,0,0,0,1,1,6.530403045685278
R_3iJAWoKT4SmUt3R,Treat1,5,0,0,30,5,16,9,Etc,1,0,0,0,0,1,0,1,0,5,5,4,0,0,0,0,0,4.16821308411215
R_3erWUb8Zidd7hGx,Treat1,5,1,0,31,6,20,3,PAN-PRD-MC,0,1,0,0,3,1,0,0,1,5,5,2,0,1,0,0,1,4.16821308411215
R_2uqTfPcr9bDb6xB,Treat2,5,1,0,26,5,4,9,Etc,1,0,0,0,0,1,0,1,2,5,5,4,0,0,1,0,1,6.549394949494949
R_2TAlJgMze28vCrM,Treat1,5,0,1,33,3,16,5,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,5,5,5,0,0,0,0,0,4.367588288288288
R_2pQVa8qhhI27HEu,Treat1,5,0,0,20,5,9,8,Etc,1,0,0,0,2,0,0,0,0,2,1,2,0,1,0,0,1,6.549394949494949
R_2tcfPqTPip6Tndc,Control,5,0,1,21,5,5,5,Etc,1,0,0,0,0,1,0,0,0,4,4,4,0,0,0,1,1,6.530403045685278
R_2v0KNOlDyKy7XyV,Treat1,5,0,1,39,5,9,5,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,4,4,3,0,0,0,0,0,4.367588288288288
R_1JDVGmji5k5q6f3,Treat2,4,0,0,39,5,8,6,Etc,1,0,0,0,2,1,0,1,0,5,5,2,0,0,1,0,1,4.16821308411215
