ResponseId,UserLanguage,Gender,Group,CJ1,CJ2,CJ3,CJ4,CJ5,CJ6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-4,F-3-1-4,F-3-5,F-3-1-5,F-3-6,F-3-1-6,F-3-2-1,F-3-2-2,F-3-2-3,F-3-2-4,F-3-2-5,F-3-2-6,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-4,F-4-1-4,F-4-5,F-4-1-5,F-4-6,F-4-1-6,F-4-2-1,F-4-2-2,F-4-2-3,F-4-2-4,F-4-2-5,F-4-2-6,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-4,F-5-1-4,F-5-5,F-5-1-5,F-5-6,F-5-1-6,F-5-2-1,F-5-2-2,F-5-2-3,F-5-2-4,F-5-2-5,F-5-2-6,F-6-1,F-6-1-1,F-6-2,F-6-1-2,F-6-3,F-6-1-3,F-6-4,F-6-1-4,F-6-5,F-6-1-5,F-6-6,F-6-1-6,F-6-2-1,F-6-2-2,F-6-2-3,F-6-2-4,F-6-2-5,F-6-2-6
Response ID,User Language,gender,treatment,Conjoint 1st,Conjoint 2nd,Conjoint 3rd,Conjoint 4th,Conjoint 5th,Conjoint 6th,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-4,F-3-1-4,F-3-5,F-3-1-5,F-3-6,F-3-1-6,F-3-2-1,F-3-2-2,F-3-2-3,F-3-2-4,F-3-2-5,F-3-2-6,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-4,F-4-1-4,F-4-5,F-4-1-5,F-4-6,F-4-1-6,F-4-2-1,F-4-2-2,F-4-2-3,F-4-2-4,F-4-2-5,F-4-2-6,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-4,F-5-1-4,F-5-5,F-5-1-5,F-5-6,F-5-1-6,F-5-2-1,F-5-2-2,F-5-2-3,F-5-2-4,F-5-2-5,F-5-2-6,F-6-1,F-6-1-1,F-6-2,F-6-1-2,F-6-3,F-6-1-3,F-6-4,F-6-1-4,F-6-5,F-6-1-5,F-6-6,F-6-1-6,F-6-2-1,F-6-2-2,F-6-2-3,F-6-2-4,F-6-2-5,F-6-2-6
"{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID36""}","{""ImportId"":""QID39""}","{""ImportId"":""QID51""}","{""ImportId"":""QID45""}","{""ImportId"":""QID48""}","{""ImportId"":""F-1-1""}","{""ImportId"":""F-1-1-1""}","{""ImportId"":""F-1-2""}","{""ImportId"":""F-1-1-2""}","{""ImportId"":""F-1-3""}","{""ImportId"":""F-1-1-3""}","{""ImportId"":""F-1-4""}","{""ImportId"":""F-1-1-4""}","{""ImportId"":""F-1-5""}","{""ImportId"":""F-1-1-5""}","{""ImportId"":""F-1-6""}","{""ImportId"":""F-1-1-6""}","{""ImportId"":""F-1-2-1""}","{""ImportId"":""F-1-2-2""}","{""ImportId"":""F-1-2-3""}","{""ImportId"":""F-1-2-4""}","{""ImportId"":""F-1-2-5""}","{""ImportId"":""F-1-2-6""}","{""ImportId"":""F-2-1""}","{""ImportId"":""F-2-1-1""}","{""ImportId"":""F-2-2""}","{""ImportId"":""F-2-1-2""}","{""ImportId"":""F-2-3""}","{""ImportId"":""F-2-1-3""}","{""ImportId"":""F-2-4""}","{""ImportId"":""F-2-1-4""}","{""ImportId"":""F-2-5""}","{""ImportId"":""F-2-1-5""}","{""ImportId"":""F-2-6""}","{""ImportId"":""F-2-1-6""}","{""ImportId"":""F-2-2-1""}","{""ImportId"":""F-2-2-2""}","{""ImportId"":""F-2-2-3""}","{""ImportId"":""F-2-2-4""}","{""ImportId"":""F-2-2-5""}","{""ImportId"":""F-2-2-6""}","{""ImportId"":""F-3-1""}","{""ImportId"":""F-3-1-1""}","{""ImportId"":""F-3-2""}","{""ImportId"":""F-3-1-2""}","{""ImportId"":""F-3-3""}","{""ImportId"":""F-3-1-3""}","{""ImportId"":""F-3-4""}","{""ImportId"":""F-3-1-4""}","{""ImportId"":""F-3-5""}","{""ImportId"":""F-3-1-5""}","{""ImportId"":""F-3-6""}","{""ImportId"":""F-3-1-6""}","{""ImportId"":""F-3-2-1""}","{""ImportId"":""F-3-2-2""}","{""ImportId"":""F-3-2-3""}","{""ImportId"":""F-3-2-4""}","{""ImportId"":""F-3-2-5""}","{""ImportId"":""F-3-2-6""}","{""ImportId"":""F-4-1""}","{""ImportId"":""F-4-1-1""}","{""ImportId"":""F-4-2""}","{""ImportId"":""F-4-1-2""}","{""ImportId"":""F-4-3""}","{""ImportId"":""F-4-1-3""}","{""ImportId"":""F-4-4""}","{""ImportId"":""F-4-1-4""}","{""ImportId"":""F-4-5""}","{""ImportId"":""F-4-1-5""}","{""ImportId"":""F-4-6""}","{""ImportId"":""F-4-1-6""}","{""ImportId"":""F-4-2-1""}","{""ImportId"":""F-4-2-2""}","{""ImportId"":""F-4-2-3""}","{""ImportId"":""F-4-2-4""}","{""ImportId"":""F-4-2-5""}","{""ImportId"":""F-4-2-6""}","{""ImportId"":""F-5-1""}","{""ImportId"":""F-5-1-1""}","{""ImportId"":""F-5-2""}","{""ImportId"":""F-5-1-2""}","{""ImportId"":""F-5-3""}","{""ImportId"":""F-5-1-3""}","{""ImportId"":""F-5-4""}","{""ImportId"":""F-5-1-4""}","{""ImportId"":""F-5-5""}","{""ImportId"":""F-5-1-5""}","{""ImportId"":""F-5-6""}","{""ImportId"":""F-5-1-6""}","{""ImportId"":""F-5-2-1""}","{""ImportId"":""F-5-2-2""}","{""ImportId"":""F-5-2-3""}","{""ImportId"":""F-5-2-4""}","{""ImportId"":""F-5-2-5""}","{""ImportId"":""F-5-2-6""}","{""ImportId"":""F-6-1""}","{""ImportId"":""F-6-1-1""}","{""ImportId"":""F-6-2""}","{""ImportId"":""F-6-1-2""}","{""ImportId"":""F-6-3""}","{""ImportId"":""F-6-1-3""}","{""ImportId"":""F-6-4""}","{""ImportId"":""F-6-1-4""}","{""ImportId"":""F-6-5""}","{""ImportId"":""F-6-1-5""}","{""ImportId"":""F-6-6""}","{""ImportId"":""F-6-1-6""}","{""ImportId"":""F-6-2-1""}","{""ImportId"":""F-6-2-2""}","{""ImportId"":""F-6-2-3""}","{""ImportId"":""F-6-2-4""}","{""ImportId"":""F-6-2-5""}","{""ImportId"":""F-6-2-6""}"
R_0oKLiQGAFYAm1d7,EN,Male,Group 2,1,2,2,1,1,1,Performance1,Middle,Performance2,20%,Performance3,Category 4,Birth,Country 2,Living,City 2,Rating,Bad,High,30%,Category 1,Country 3,City 5,Good,Performance1,Low,Performance2,30%,Performance3,Category 4,Birth,Country 1,Living,City 1,Rating,Very Bad,Middle,20%,Category 3,Country 2,City 3,Good,Performance1,Low,Performance2,5%,Performance3,Category 5,Birth,Country 4,Living,City 2,Rating,Very Good,High,30%,Category 2,Country 3,City 1,Good,Performance1,High,Performance2,25%,Performance3,Category 5,Birth,Country 2,Living,City 4,Rating,Bad,Low,5%,Category 3,Country 3,City 3,Good,Performance1,Low,Performance2,25%,Performance3,Category 1,Birth,Country 4,Living,City 5,Rating,Good,Low,30%,Category 6,Country 4,City 4,Very Bad,Performance1,Low,Performance2,10%,Performance3,Category 6,Birth,Country 3,Living,City 2,Rating,Good,Middle,20%,Category 1,Country 1,City 3,Very Bad
R_26fEEqaam3DlzB3,EN,Female,Group 4,1,2,2,2,2,2,Performance1,Middle,Performance2,30%,Performance3,Category 3,Birth,Country 2,Living,City 1,Rating,Bad,Middle,15%,Category 6,Country 3,City 3,Good,Performance1,Middle,Performance2,5%,Performance3,Category 4,Birth,Country 3,Living,City 4,Rating,Very Bad,High,5%,Category 2,Country 1,City 3,Bad,Performance1,High,Performance2,15%,Performance3,Category 2,Birth,Country 3,Living,City 2,Rating,Good,High,30%,Category 5,Country 4,City 1,Bad,Performance1,High,Performance2,5%,Performance3,Category 2,Birth,Country 1,Living,City 1,Rating,Very Bad,Middle,30%,Category 2,Country 2,City 4,Good,Performance1,Low,Performance2,30%,Performance3,Category 1,Birth,Country 3,Living,City 2,Rating,Very Good,Low,25%,Category 4,Country 1,City 1,Very Good,Performance1,High,Performance2,10%,Performance3,Category 4,Birth,Country 2,Living,City 2,Rating,Very Bad,High,5%,Category 6,Country 3,City 1,Bad
R_xo5IMzAwjH9tRjb,EN,Male,Group 1,1,2,2,1,1,2,Performance1,High,Performance2,15%,Performance3,Category 3,Birth,Country 1,Living,City 1,Rating,Good,High,20%,Category 6,Country 4,City 2,Very Good,Performance1,Low,Performance2,30%,Performance3,Category 4,Birth,Country 4,Living,City 4,Rating,Very Good,High,15%,Category 3,Country 1,City 5,Good,Performance1,Middle,Performance2,15%,Performance3,Category 3,Birth,Country 4,Living,City 5,Rating,Bad,Low,10%,Category 5,Country 3,City 2,Very Bad,Performance1,Low,Performance2,25%,Performance3,Category 5,Birth,Country 3,Living,City 4,Rating,Very Good,High,10%,Category 1,Country 4,City 1,Very Good,Performance1,High,Performance2,30%,Performance3,Category 4,Birth,Country 4,Living,City 3,Rating,Good,High,30%,Category 6,Country 2,City 5,Very Bad,Performance1,Low,Performance2,20%,Performance3,Category 6,Birth,Country 4,Living,City 2,Rating,Very Good,Low,5%,Category 2,Country 4,City 1,Very Bad
R_21tXIKyx2mqWyoC,EN,Female,Group 1,2,2,2,2,2,2,Performance1,High,Performance2,30%,Performance3,Category 4,Birth,Country 1,Living,City 2,Rating,Bad,Middle,25%,Category 4,Country 4,City 3,Good,Performance1,Middle,Performance2,20%,Performance3,Category 1,Birth,Country 2,Living,City 5,Rating,Very Bad,Low,30%,Category 4,Country 4,City 5,Good,Performance1,Middle,Performance2,30%,Performance3,Category 3,Birth,Country 2,Living,City 2,Rating,Bad,Middle,30%,Category 1,Country 2,City 3,Very Good,Performance1,High,Performance2,30%,Performance3,Category 1,Birth,Country 4,Living,City 3,Rating,Good,High,20%,Category 5,Country 2,City 3,Bad,Performance1,Low,Performance2,5%,Performance3,Category 6,Birth,Country 4,Living,City 2,Rating,Very Bad,High,30%,Category 6,Country 3,City 5,Very Bad,Performance1,High,Performance2,10%,Performance3,Category 3,Birth,Country 2,Living,City 3,Rating,Very Bad,Middle,20%,Category 5,Country 2,City 1,Bad
R_1q9CzYLTcJ21nUl,EN,Male,Group 3,2,2,1,1,1,1,Performance1,Low,Performance2,30%,Performance3,Category 5,Birth,Country 2,Living,City 2,Rating,Bad,High,5%,Category 6,Country 4,City 4,Very Bad,Performance1,High,Performance2,15%,Performance3,Category 2,Birth,Country 3,Living,City 4,Rating,Very Good,Low,5%,Category 4,Country 1,City 3,Very Bad,Performance1,High,Performance2,25%,Performance3,Category 3,Birth,Country 3,Living,City 1,Rating,Bad,Low,25%,Category 3,Country 2,City 4,Very Bad,Performance1,Low,Performance2,20%,Performance3,Category 2,Birth,Country 1,Living,City 5,Rating,Very Good,High,20%,Category 5,Country 2,City 5,Good,Performance1,High,Performance2,25%,Performance3,Category 5,Birth,Country 1,Living,City 4,Rating,Very Good,Low,20%,Category 5,Country 1,City 1,Bad,Performance1,Middle,Performance2,5%,Performance3,Category 6,Birth,Country 3,Living,City 3,Rating,Very Good,Low,10%,Category 4,Country 4,City 1,Good
R_3MzE34OcxBbZFDo,EN,Male,Group 1,2,2,2,2,2,1,Performance1,High,Performance2,30%,Performance3,Category 2,Birth,Country 4,Living,City 2,Rating,Bad,Middle,10%,Category 2,Country 4,City 3,Bad,Performance1,Middle,Performance2,10%,Performance3,Category 6,Birth,Country 1,Living,City 1,Rating,Bad,Low,20%,Category 6,Country 4,City 2,Good,Performance1,High,Performance2,20%,Performance3,Category 1,Birth,Country 4,Living,City 3,Rating,Good,Middle,5%,Category 4,Country 2,City 2,Very Good,Performance1,High,Performance2,15%,Performance3,Category 5,Birth,Country 1,Living,City 2,Rating,Very Bad,High,30%,Category 6,Country 4,City 1,Very Good,Performance1,Middle,Performance2,15%,Performance3,Category 1,Birth,Country 4,Living,City 5,Rating,Bad,Middle,30%,Category 1,Country 4,City 4,Very Good,Performance1,Middle,Performance2,20%,Performance3,Category 1,Birth,Country 2,Living,City 2,Rating,Good,High,30%,Category 4,Country 2,City 1,Bad
R_3oT9L1FvZaXIZHC,EN,Male,Group 4,1,1,2,1,2,1,Performance1,Low,Performance2,5%,Performance3,Category 6,Birth,Country 2,Living,City 1,Rating,Good,High,30%,Category 3,Country 4,City 4,Very Bad,Performance1,Middle,Performance2,30%,Performance3,Category 2,Birth,Country 2,Living,City 4,Rating,Very Bad,Low,5%,Category 5,Country 4,City 5,Bad,Performance1,Middle,Performance2,10%,Performance3,Category 4,Birth,Country 1,Living,City 1,Rating,Very Good,High,20%,Category 3,Country 2,City 5,Very Good,Performance1,Low,Performance2,20%,Performance3,Category 2,Birth,Country 3,Living,City 5,Rating,Good,Low,20%,Category 6,Country 4,City 4,Very Good,Performance1,Middle,Performance2,10%,Performance3,Category 6,Birth,Country 1,Living,City 1,Rating,Very Good,Middle,10%,Category 1,Country 2,City 1,Good,Performance1,High,Performance2,25%,Performance3,Category 5,Birth,Country 4,Living,City 3,Rating,Very Good,Middle,5%,Category 3,Country 1,City 4,Very Good
