Country,Date,Confirmed_Day,Confirmed_Total
China,2020/1/22,548,548
China,2020/1/23,95,643
China,2020/1/24,277,920
China,2020/1/25,486,1406
China,2020/1/26,669,2075
China,2020/1/27,802,2877
China,2020/1/28,2632,5509
China,2020/1/29,578,6087
China,2020/1/30,2054,8141
China,2020/1/31,1661,9802
China,2020/2/1,2089,11891
China,2020/2/2,4739,16630
China,2020/2/3,3086,19716
China,2020/2/4,3991,23707
China,2020/2/5,3733,27440
China,2020/2/6,3147,30587
China,2020/2/7,3523,34110
China,2020/2/8,2704,36814
China,2020/2/9,3015,39829
China,2020/2/10,2525,42354
China,2020/2/11,2032,44386
China,2020/2/12,373,44759
China,2020/2/13,15136,59895
China,2020/2/14,6463,66358
China,2020/2/15,2055,68413
China,2020/2/16,2100,70513
China,2020/2/17,1921,72434
China,2020/2/18,1777,74211
China,2020/2/19,408,74619
China,2020/2/20,458,75077
China,2020/2/21,473,75550
China,2020/2/22,1451,77001
China,2020/2/23,21,77022
China,2020/2/24,219,77241
China,2020/2/25,513,77754
China,2020/2/26,412,78166
China,2020/2/27,434,78600
China,2020/2/28,328,78928
China,2020/2/29,428,79356
China,2020/3/1,576,79932
China,2020/3/2,204,80136
China,2020/3/3,125,80261
China,2020/3/4,125,80386
China,2020/3/5,151,80537
China,2020/3/6,153,80690
China,2020/3/7,80,80770
China,2020/3/8,53,80823
China,2020/3/9,37,80860
China,2020/3/10,27,80887
China,2020/3/11,34,80921
China,2020/3/12,11,80932
China,2020/3/13,13,80945
China,2020/3/14,32,80977
China,2020/3/15,26,81003
China,2020/3/16,30,81033
China,2020/3/17,25,81058
China,2020/3/18,44,81102
China,2020/3/19,54,81156
China,2020/3/20,94,81250
China,2020/3/21,55,81305
China,2020/3/22,130,81435
China,2020/3/23,63,81498
China,2020/3/24,93,81591
China,2020/3/25,70,81661
China,2020/3/26,121,81782
China,2020/3/27,115,81897
China,2020/3/28,102,81999
China,2020/3/29,123,82122
China,2020/3/30,76,82198
China,2020/3/31,81,82279
China,2020/4/1,82,82361
China,2020/4/2,71,82432
China,2020/4/3,79,82511
China,2020/4/4,32,82543
China,2020/4/5,59,82602
China,2020/4/6,63,82665
China,2020/4/7,53,82718
China,2020/4/8,91,82809
China,2020/4/9,74,82883
China,2020/4/10,58,82941
China,2020/4/11,73,83014
China,2020/4/12,120,83134
China,2020/4/13,79,83213
China,2020/4/14,93,83306
China,2020/4/15,50,83356
China,2020/4/16,47,83403
China,2020/4/17,357,83760
China,2020/4/18,27,83787
China,2020/4/19,18,83805
China,2020/4/20,12,83817
China,2020/4/21,36,83853
China,2020/4/22,15,83868
China,2020/4/23,16,83884
China,2020/4/24,15,83899
China,2020/4/25,10,83909
China,2020/4/26,3,83912
China,2020/4/27,6,83918
China,2020/4/28,22,83940
China,2020/4/29,4,83944
China,2020/4/30,12,83956
China,2020/5/1,3,83959
China,2020/5/2,0,83959
China,2020/5/3,5,83964
China,2020/5/4,2,83966
China,2020/5/5,2,83968
China,2020/5/6,2,83970
China,2020/5/7,5,83975
China,2020/5/8,1,83976
China,2020/5/9,14,83990
China,2020/5/10,20,84010
China,2020/5/11,1,84011
China,2020/5/12,7,84018
China,2020/5/13,6,84024
China,2020/5/14,5,84029
China,2020/5/15,9,84038
China,2020/5/16,6,84044
China,2020/5/17,10,84054
China,2020/5/18,9,84063
China,2020/5/19,0,84063
China,2020/5/20,0,84063
China,2020/5/21,0,84063
China,2020/5/22,18,84081
China,2020/5/23,3,84084
China,2020/5/24,11,84095
China,2020/5/25,7,84102
China,2020/5/26,1,84103
China,2020/5/27,3,84106
China,2020/5/28,0,84106
China,2020/5/29,17,84123
China,2020/5/30,5,84128
China,2020/5/31,18,84146
China,2020/6/1,8,84154
China,2020/6/2,7,84161
China,2020/6/3,-1,84160
China,2020/6/4,11,84171
China,2020/6/5,6,84177
China,2020/6/6,9,84186
China,2020/6/7,5,84191
China,2020/6/8,4,84195
China,2020/6/9,3,84198
China,2020/6/10,11,84209
China,2020/6/11,7,84216
China,2020/6/12,12,84228
China,2020/6/13,58,84286
China,2020/6/14,49,84335
China,2020/6/15,43,84378
China,2020/6/16,44,84422
China,2020/6/17,36,84458
China,2020/6/18,36,84494
China,2020/6/19,0,84494
China,2020/6/20,59,84553
China,2020/6/21,19,84572
China,2020/6/22,52,84624
China,2020/6/23,29,84653
China,2020/6/24,20,84673
China,2020/6/25,28,84701
China,2020/6/26,24,84725
China,2020/6/27,18,84743
China,2020/6/28,14,84757
China,2020/6/29,23,84780
China,2020/6/30,5,84785
China,2020/7/1,31,84816
China,2020/7/2,14,84830
China,2020/7/3,8,84838
China,2020/7/4,19,84857
China,2020/7/5,14,84871
China,2020/7/6,18,84889
China,2020/7/7,28,84917
China,2020/7/8,33,84950
China,2020/7/9,42,84992
China,2020/7/10,0,84992
Japan,2020/1/22,2,2
Japan,2020/1/23,0,2
Japan,2020/1/24,0,2
Japan,2020/1/25,0,2
Japan,2020/1/26,2,4
Japan,2020/1/27,0,4
Japan,2020/1/28,3,7
Japan,2020/1/29,0,7
Japan,2020/1/30,4,11
Japan,2020/1/31,4,15
Japan,2020/2/1,5,20
Japan,2020/2/2,0,20
Japan,2020/2/3,0,20
Japan,2020/2/4,2,22
Japan,2020/2/5,1,23
Japan,2020/2/6,0,23
Japan,2020/2/7,61,84
Japan,2020/2/8,1,85
Japan,2020/2/9,3,88
Japan,2020/2/10,73,161
Japan,2020/2/11,1,162
Japan,2020/2/12,41,203
Japan,2020/2/13,5,208
Japan,2020/2/14,53,261
Japan,2020/2/15,78,339
Japan,2020/2/16,76,415
Japan,2020/2/17,106,521
Japan,2020/2/18,100,621
Japan,2020/2/19,85,706
Japan,2020/2/20,23,729
Japan,2020/2/21,17,746
Japan,2020/2/22,25,771
Japan,2020/2/23,69,840
Japan,2020/2/24,11,851
Japan,2020/2/25,13,864
Japan,2020/2/26,33,897
Japan,2020/2/27,26,923
Japan,2020/2/28,18,941
Japan,2020/2/29,9,950
Japan,2020/3/1,14,964
Japan,2020/3/2,19,983
Japan,2020/3/3,21,1004
Japan,2020/3/4,35,1039
Japan,2020/3/5,32,1071
Japan,2020/3/6,55,1126
Japan,2020/3/7,46,1172
Japan,2020/3/8,33,1205
Japan,2020/3/9,28,1233
Japan,2020/3/10,58,1291
Japan,2020/3/11,55,1346
Japan,2020/3/12,56,1402
Japan,2020/3/13,37,1439
Japan,2020/3/14,62,1501
Japan,2020/3/15,31,1532
Japan,2020/3/16,17,1549
Japan,2020/3/17,50,1599
Japan,2020/3/18,41,1640
Japan,2020/3/19,40,1680
Japan,2020/3/20,54,1734
Japan,2020/3/21,37,1771
Japan,2020/3/22,45,1816
Japan,2020/3/23,40,1856
Japan,2020/3/24,73,1929
Japan,2020/3/25,97,2026
Japan,2020/3/26,102,2128
Japan,2020/3/27,114,2242
Japan,2020/3/28,198,2440
Japan,2020/3/29,179,2619
Japan,2020/3/30,94,2713
